	individual	fp	fn	tp	tn
0	<Individual.Individual object at 0x102681e80>	30	31	28	11
1	<Individual.Individual object at 0x31e9cd0d0>	18	18	41	23
2	<Individual.Individual object at 0x3215e3040>	19	23	36	22
3	<Individual.Individual object at 0x320359790>	36	36	23	5
4	<Individual.Individual object at 0x318acd6a0>	24	25	34	17
5	<Individual.Individual object at 0x31f7ac190>	29	29	30	12
6	<Individual.Individual object at 0x31ca73940>	39	9	50	2
7	<Individual.Individual object at 0x3215b9370>	32	22	37	9
8	<Individual.Individual object at 0x31a436160>	24	23	36	17
9	<Individual.Individual object at 0x31a647d30>	26	14	45	15
10	<Individual.Individual object at 0x3201d55b0>	24	24	35	17
11	<Individual.Individual object at 0x31a5c7400>	12	18	41	29
12	<Individual.Individual object at 0x31b5f0460>	24	27	32	17
13	<Individual.Individual object at 0x31f5d52b0>	28	19	40	13
14	<Individual.Individual object at 0x31b0772e0>	23	22	37	18
15	<Individual.Individual object at 0x31badbc40>	21	16	43	20
16	<Individual.Individual object at 0x31b473ac0>	21	17	42	20
17	<Individual.Individual object at 0x31a8954c0>	14	19	40	27
18	<Individual.Individual object at 0x31b981730>	17	16	43	24
19	<Individual.Individual object at 0x31b4cc4f0>	27	28	31	14
20	<Individual.Individual object at 0x31a5c2ee0>	18	20	39	23
21	<Individual.Individual object at 0x31afb2550>	29	18	41	12
22	<Individual.Individual object at 0x32037e760>	31	19	40	10
23	<Individual.Individual object at 0x3201e3fd0>	31	29	30	10
24	<Individual.Individual object at 0x3201d7e50>	34	15	44	7
25	<Individual.Individual object at 0x32018c9a0>	36	26	33	5
26	<Individual.Individual object at 0x320171520>	25	26	33	16
27	<Individual.Individual object at 0x3189add90>	22	27	32	19
28	<Individual.Individual object at 0x318997c10>	36	14	45	5
29	<Individual.Individual object at 0x31f61d760>	20	13	46	21
30	<Individual.Individual object at 0x31b4dbfd0>	28	26	33	13
31	<Individual.Individual object at 0x31b4f8e50>	31	11	48	10
32	<Individual.Individual object at 0x31ba589a0>	34	17	42	7
33	<Individual.Individual object at 0x31ba59520>	16	15	44	25
34	<Individual.Individual object at 0x31c72ed90>	26	27	32	15
35	<Individual.Individual object at 0x3211c5c10>	30	12	47	11
36	<Individual.Individual object at 0x31ca7b760>	15	14	45	26
37	<Individual.Individual object at 0x31ca61fd0>	14	15	44	27
38	<Individual.Individual object at 0x31a05ae50>	19	23	36	22
39	<Individual.Individual object at 0x31b447d90>	16	6	53	25
40	<Individual.Individual object at 0x31b4a2520>	24	25	34	17
41	<Individual.Individual object at 0x31b4add90>	36	26	33	5
42	<Individual.Individual object at 0x320303c10>	25	17	42	16
43	<Individual.Individual object at 0x31b99c760>	27	22	37	14
44	<Individual.Individual object at 0x31baf5fd0>	23	23	36	18
45	<Individual.Individual object at 0x31baf2130>	29	28	31	12
46	<Individual.Individual object at 0x31a0929a0>	24	24	35	17
47	<Individual.Individual object at 0x16ddc0520>	19	20	39	22
48	<Individual.Individual object at 0x31f6d6d90>	10	14	45	31
49	<Individual.Individual object at 0x31f6c2c10>	20	7	52	21
50	<Individual.Individual object at 0x31be9a760>	35	35	24	6
51	<Individual.Individual object at 0x31b1a5fd0>	39	29	30	2
52	<Individual.Individual object at 0x31b19ee50>	38	32	27	3
53	<Individual.Individual object at 0x31f78a9a0>	24	25	34	17
54	<Individual.Individual object at 0x31b30b520>	21	21	38	20
55	<Individual.Individual object at 0x31b577e20>	25	22	37	16
56	<Individual.Individual object at 0x31b573c10>	36	16	43	5
57	<Individual.Individual object at 0x16de1b760>	29	29	30	12
58	<Individual.Individual object at 0x31b53cfd0>	24	23	36	17
59	<Individual.Individual object at 0x31b54be50>	26	29	30	15
60	<Individual.Individual object at 0x31b1dc9a0>	36	13	46	5
61	<Individual.Individual object at 0x31b393520>	32	13	46	9
62	<Individual.Individual object at 0x31b3a3d90>	24	26	33	17
63	<Individual.Individual object at 0x31b436c10>	28	4	55	13
64	<Individual.Individual object at 0x320397760>	20	20	39	21
65	<Individual.Individual object at 0x3203b3fd0>	22	14	45	19
66	<Individual.Individual object at 0x31c3b4e50>	27	23	36	14
67	<Individual.Individual object at 0x31c3ae9a0>	24	23	36	17
68	<Individual.Individual object at 0x31b5de520>	34	12	47	7
69	<Individual.Individual object at 0x31b03dd90>	27	32	27	14
70	<Individual.Individual object at 0x31b001c10>	23	24	35	18
71	<Individual.Individual object at 0x16dd57760>	18	26	33	23
72	<Individual.Individual object at 0x16dd2cfd0>	22	16	43	19
73	<Individual.Individual object at 0x31b35ee50>	28	8	51	13
74	<Individual.Individual object at 0x31a53f250>	36	20	39	5
75	<Individual.Individual object at 0x31a53b520>	33	31	28	8
76	<Individual.Individual object at 0x31a2f2d90>	24	18	41	17
77	<Individual.Individual object at 0x3200e9c10>	33	28	31	8
78	<Individual.Individual object at 0x3200eb760>	36	30	29	5
79	<Individual.Individual object at 0x319ef6fd0>	28	3	56	13
80	<Individual.Individual object at 0x319efbe50>	27	28	31	14
81	<Individual.Individual object at 0x31a460100>	30	16	43	11
82	<Individual.Individual object at 0x31a6a8520>	32	30	29	9
83	<Individual.Individual object at 0x31a6aad90>	21	14	45	20
84	<Individual.Individual object at 0x31aa1ac10>	20	17	42	21
85	<Individual.Individual object at 0x31aa01760>	31	27	32	10
86	<Individual.Individual object at 0x31a4a6fd0>	37	33	26	4
87	<Individual.Individual object at 0x31a49be50>	34	24	35	7
88	<Individual.Individual object at 0x31ed8a850>	29	23	36	12
89	<Individual.Individual object at 0x31a486790>	16	12	47	25
90	<Individual.Individual object at 0x3207b98b0>	20	12	47	21
91	<Individual.Individual object at 0x31a423760>	13	10	49	28
92	<Individual.Individual object at 0x319e1e700>	32	23	36	9
93	<Individual.Individual object at 0x31ca5f220>	25	18	41	16
94	<Individual.Individual object at 0x318ac5700>	35	36	23	6
95	<Individual.Individual object at 0x322cc6400>	31	31	28	10
96	<Individual.Individual object at 0x3220776d0>	34	26	33	7
97	<Individual.Individual object at 0x322053400>	23	18	41	18
98	<Individual.Individual object at 0x322a1be20>	27	10	49	14
99	<Individual.Individual object at 0x322a39e50>	33	28	31	8
