	numberOfPedestrians	probPed	numberOfPassengers	probPass	AltruismLevel	KnobLevel	Fitness	convieneSvolta	predAction
0	4,0	0,3357545688721174	3,0	0,14654697727175225	0,43494297514923375	1,0	0,43333333333333335	0,0	0,0
1	1,0	0,35109571863404354	3,0	0,8176269638937983	0,9098632814450875	0,1180022656917572	0,39999999999999997	0,0	1,0
2	4,0	0,4162709501174101	4,0	0,39384867145172386	0,0016594776550387103	0,0	0,5	0,0	1,0
3	5,0	0,6833133270013294	3,0	0,01824558029221457	0,2072981491913699	1,0	0,08333333333333331	0,0	0,0
4	5,0	0,9140159656019528	6,0	0,7813847776746556	0,07149418536672003	0,8056354522705078	0,08333333333333331	0,0	0,0
5	6,0	0,908475903529696	5,0	0,5585869555435521	0,4037963294833352	0,0	0,39999999999999997	0,0	1,0
6	3,0	0,6254549178972224	2,0	0,8952484450818857	0,29235428342308656	0,0	0,39999999999999997	0,0	1,0
7	4,0	0,3167804414340294	6,0	0,11309552778298393	0,26697731770732724	1,0	0,18333333333333335	0,0	0,0
8	6,0	0,03721579671042419	5,0	0,4862253998471493	0,8200007243600818	1,0	0,43333333333333335	0,0	0,0
9	2,0	0,05484132287950072	3,0	0,8433379889194671	0,48752147900530707	0,0	0,39999999999999997	0,0	1,0
10	6,0	0,6943114460918605	6,0	0,30366947406454325	0,06968618214548705	0,0	0,39999999999999997	0,0	1,0
11	3,0	0,806039985584716	5,0	0,48102559626398034	0,9898412547550532	0,0	0,6499999999999999	0,0	1,0
12	6,0	0,3574175747064411	2,0	0,6243252088705784	0,885324158057531	0,564054012298584	0,6499999999999999	0,0	1,0
13	1,0	0,6503864353440864	3,0	0,39455707380032146	0,8649227844031065	0,7868326306343079	0,3333333333333333	0,0	0,0
14	1,0	0,19313106229367893	1,0	0,18014300237846692	0,5601927829935165	0,74132239818573	0,18333333333333335	0,0	0,0
15	1,0	0,02084184825744584	2,0	0,9331409834273147	0,6979129689074411	0,0	0,39999999999999997	0,0	1,0
16	2,0	0,7147254382992863	6,0	0,27736676357224244	0,7266357999368159	0,5011913776397705	0,3333333333333333	0,0	0,0
17	6,0	0,07355311364979711	6,0	0,2591149140770903	0,6978674441839275	0,0	0,75	0,0	1,0
18	6,0	0,678966141655327	4,0	0,17815537052516972	0,1930708346909049	0,0	0,39999999999999997	0,0	1,0
19	1,0	0,43235230723077067	2,0	0,9725732732981036	0,14479384111799432	0,0	0,39999999999999997	0,0	1,0
20	5,0	0,3366658573245077	1,0	0,29306247557149767	0,3149232117872922	0,31764867901802063	0,75	0,0	1,0
21	4,0	0,45244228819385535	1,0	0,02045724984603714	0,9816031862127205	1,0	0,43333333333333335	0,0	0,0
22	1,0	0,1604750373371201	4,0	0,8882052559225698	0,4457065989938771	0,0	0,39999999999999997	0,0	1,0
23	4,0	0,678057878231542	1,0	0,49919163551962986	0,8325765857983407	0,0	0,39999999999999997	0,0	1,0
24	3,0	0,7661237176238015	2,0	0,5532240333390409	0,2617470437986158	0,0	0,6499999999999999	0,0	1,0
25	1,0	0,15565459944777416	5,0	0,8338451411012643	0,28950096684627924	1,0	0,08333333333333331	0,0	0,0
26	4,0	0,25575907296411016	5,0	0,013840447208117612	0,041138328953774894	0,0019463300704956055	0,5	0,0	1,0
27	1,0	0,5758890273577402	5,0	0,9759525589271173	0,06873917937759078	1,0	0,3333333333333333	0,0	0,0
28	2,0	0,5432762000441316	1,0	0,4658272057919809	0,7221739821035649	0,0	0,6499999999999999	0,0	1,0
29	3,0	0,744549380190269	1,0	0,7111713123699736	0,4632957640291714	0,1309904158115387	0,39999999999999997	0,0	1,0
30	2,0	0,8974457347811539	4,0	0,8152507607153084	0,004519369260237993	0,0	0,6499999999999999	0,0	1,0
31	3,0	0,1061878492537277	2,0	0,9372306810767207	0,9243316516959029	0,0	0,39999999999999997	0,0	1,0
32	4,0	0,026653342386370737	6,0	0,9937562266450322	0,8645517278833453	0,0	0,6499999999999999	0,0	1,0
