numberOfPedestrians	probPed	numberOfPassengers	probPass	AltruismLevel	KnobLevel	Fitness	convieneSvolta	predAction
1,0	0,11089929461732817	2,0	0,8156115345151111	0,7646736814259313	0,016363168397353633	0,25	0	0
4,0	0,1268263481585189	6,0	0,1351398059697566	0,8548181394185068	0,6158406403815655	0,25	1	0
4,0	0,8964417150236704	4,0	0,44844579446056787	0,4167045956089367	0,3227073326947497	0,25	1	0
2,0	0,8770714818240698	2,0	0,8791783488376995	0,8499622112357926	0,9303414725498779	0,25	1	0
2,0	0,16474525876811819	6,0	0,656696055583205	0,3914976253792186	0,7641536388179055	0,25	0	0
4,0	0,5517653505648056	6,0	0,8806103566219776	0,3352082538658522	0,40152657881410747	0,25	0	0
5,0	0,9871061097236142	6,0	0,07374003971449727	0,8416370695328353	0,5504003697492108	0,25	1	0
1,0	0,03606468153729869	3,0	0,7731919194894388	0,3649816691599843	0,7049663216288435	0,25	0	0
5,0	0,5596904469304955	6,0	0,1932034473562817	0,40584967563891783	0,9644652536192098	0,25	1	0
3,0	0,33980046732337477	2,0	0,8370364136472989	0,24473663277894375	0,7710642842402589	0,25	0	0
5,0	0,16659194207851036	3,0	0,9364420906684949	0,01180911116909611	0,7195848641476905	0,25	0	0
3,0	0,5431798553997634	2,0	0,16736934104946055	0,11492328603404978	0,2747798048078258	0,25	0	0
1,0	0,3936850777549401	4,0	0,042644528496475154	0,3074448040264436	0,318156999665154	0,25	0	0
5,0	0,060754374821464174	5,0	0,7712503758109666	0,07495617017218159	0,6295783328807614	0,25	0	0
2,0	0,012897997416532747	2,0	0,15110636197858296	0,4179816737941874	0,5379581172382665	0,25	0	0
2,0	0,6834236416389293	2,0	0,3460002531960923	0,2303463689924109	0,7907095542054579	0,25	0	0
3,0	0,8021659947031239	2,0	0,953319465683724	0,2073381257224265	0,40479746350121837	0,25	0	0
4,0	0,8498134292089139	4,0	0,784280164954969	0,14378900001285533	0,22071960611851094	0,25	0	0
5,0	0,33704946659728996	3,0	0,41864366515854934	0,8169938200242771	0,9488427045373574	0,25	1	0
2,0	0,6391122835095321	4,0	0,41386391848133364	0,772045600783186	0,7661742358717365	0,25	1	0
6,0	0,09685315474922374	1,0	0,8779988150454486	0,16911639059208172	0,284879039148522	0,25	0	0
3,0	0,4890694759343821	4,0	0,27103874185326926	0,7591741612488035	0,3417011319607052	0,25	1	0
1,0	0,4795104037065233	6,0	0,029498505849892998	0,6667141971511613	0,6798182303133697	0,25	0	0
2,0	0,755057328803557	3,0	0,18161001531857313	0,16879583138117416	0,5776863492412483	0,25	0	0
5,0	0,06138463042759901	2,0	0,9266312807477333	0,36313686044191396	0,6083543864772076	0,25	0	0
3,0	0,07058846203717628	4,0	0,6099427366214176	0,9089868686571343	0,07880103587596077	0,25	1	0
1,0	0,6730199573132268	2,0	0,5339814108054718	0,14887373451700792	0,6549472064983731	0,25	0	0
2,0	0,12519480200485134	1,0	0,21077965820164535	0,10027204485908159	0,1036959498362725	0,25	0	0
4,0	0,2593809142057686	6,0	0,3310795452116525	0,4745670767168152	0,8738403214306637	0,25	0	0
1,0	0,3991246073727742	6,0	0,6618328189606197	0,1714543566132909	0,4147026334835281	0,25	0	0
4,0	0,5710182847310014	1,0	0,40667984869023954	0,30833898627599665	0,08502737104256164	0,25	1	0
6,0	0,2092979089015684	5,0	0,613431202053801	0,19757636101711096	0,37901435039350595	0,25	0	0
6,0	0,040174414989835094	6,0	0,8081935509595937	0,8136304659402417	0,9354191770581048	0,25	1	0
1,0	0,11544344160775588	6,0	0,27069724831788833	0,7286832255873495	0,4245161991837866	0,25	0	0
1,0	0,5207490338793214	4,0	0,49151168176727855	0,977740574698806	0,3881291951455521	0,25	1	0
6,0	0,66556512496004	5,0	0,15098754894213873	0,7103780591199773	0,5791960030542413	0,25	1	0
3,0	0,34314931716717356	5,0	0,07360327131525035	0,8479672590504301	0,6937353013950082	0,25	1	0
3,0	0,503127022920017	3,0	0,8510740005462663	0,4550708672583509	0,4414095831603184	0,25	0	0
1,0	0,8075951494439841	4,0	0,32844914435143124	0,16523411883330363	0,8987832248644475	0,25	0	0
4,0	0,9133124885873374	4,0	0,17932970746025623	0,39937754569073314	0,17744267222073173	0,25	1	0
