	individual	fp	fn	tp	tn
0	<__main__.Individual object at 0x31306e2e0>	80	0	0	20
1	<__main__.Individual object at 0x3166633d0>	90	0	0	10
2	<__main__.Individual object at 0x316b5d370>	0	0	0	100
3	<__main__.Individual object at 0x316b77f10>	100	0	0	0
4	<__main__.Individual object at 0x316e1dac0>	100	0	0	0
5	<__main__.Individual object at 0x316e49e80>	5	0	0	95
6	<__main__.Individual object at 0x316e57fd0>	85	0	0	15
7	<__main__.Individual object at 0x316e6b340>	100	0	0	0
8	<__main__.Individual object at 0x317103ee0>	100	0	0	0
9	<__main__.Individual object at 0x317126a90>	8	0	0	92
10	<__main__.Individual object at 0x317153e50>	100	0	0	0
11	<__main__.Individual object at 0x317161eb0>	11	0	0	89
12	<__main__.Individual object at 0x317506d60>	26	0	0	74
13	<__main__.Individual object at 0x3175278e0>	16	0	0	84
14	<__main__.Individual object at 0x317549490>	80	0	0	20
15	<__main__.Individual object at 0x317562070>	8	0	0	92
16	<__main__.Individual object at 0x31766abe0>	100	0	0	0
17	<__main__.Individual object at 0x317699fa0>	76	0	0	24
18	<__main__.Individual object at 0x3176a6fd0>	13	0	0	87
19	<__main__.Individual object at 0x3176c8eb0>	13	0	0	87
20	<__main__.Individual object at 0x320a0ba30>	2	0	0	98
21	<__main__.Individual object at 0x320a35e20>	21	0	0	79
22	<__main__.Individual object at 0x320a45e80>	25	0	0	75
23	<__main__.Individual object at 0x320a67d30>	98	0	0	2
24	<__main__.Individual object at 0x321f0b8b0>	72	0	0	28
25	<__main__.Individual object at 0x321f2e460>	100	0	0	0
26	<__main__.Individual object at 0x321f45040>	3	0	0	97
27	<__main__.Individual object at 0x321f6cbb0>	100	0	0	0
28	<__main__.Individual object at 0x32280c730>	69	0	0	31
29	<__main__.Individual object at 0x322828fd0>	4	0	0	96
30	<__main__.Individual object at 0x32284be80>	100	0	0	0
31	<__main__.Individual object at 0x32286da00>	3	0	0	97
32	<__main__.Individual object at 0x32289adf0>	4	0	0	96
33	<__main__.Individual object at 0x3228a9e50>	98	0	0	2
34	<__main__.Individual object at 0x3228ced00>	7	0	0	93
35	<__main__.Individual object at 0x3228ef880>	22	0	0	78
36	<__main__.Individual object at 0x322914430>	16	0	0	84
37	<__main__.Individual object at 0x32292ef70>	20	0	0	80
38	<__main__.Individual object at 0x32294fb80>	73	0	0	27
39	<__main__.Individual object at 0x322972700>	100	0	0	0
40	<__main__.Individual object at 0x322d0bfa0>	14	0	0	86
41	<__main__.Individual object at 0x322d33e50>	3	0	0	97
42	<__main__.Individual object at 0x322d549d0>	40	0	0	60
43	<__main__.Individual object at 0x322d7ddc0>	14	0	0	86
44	<__main__.Individual object at 0x322d90e20>	100	0	0	0
45	<__main__.Individual object at 0x322db4cd0>	2	0	0	98
46	<__main__.Individual object at 0x322dd6850>	66	0	0	34
47	<__main__.Individual object at 0x322df9400>	79	0	0	21
48	<__main__.Individual object at 0x322f17fa0>	100	0	0	0
49	<__main__.Individual object at 0x322f3ab50>	98	0	0	2
50	<__main__.Individual object at 0x322f5b6d0>	100	0	0	0
51	<__main__.Individual object at 0x322f75f70>	22	0	0	78
52	<__main__.Individual object at 0x322f9be20>	100	0	0	0
53	<__main__.Individual object at 0x322fc09a0>	14	0	0	86
54	<__main__.Individual object at 0x322fe3550>	55	0	0	45
55	<__main__.Individual object at 0x322ffbdf0>	16	0	0	84
56	<__main__.Individual object at 0x323121ca0>	30	0	0	70
57	<__main__.Individual object at 0x323146820>	16	0	0	84
