	individual	fp	fn	tp	tn
0	<Individual.Individual object at 0x32426eb20>	0	0	48	52
1	<Individual.Individual object at 0x349c2d9d0>	0	0	48	52
2	<Individual.Individual object at 0x3235f8130>	0	0	48	52
3	<Individual.Individual object at 0x34c0abb20>	0	0	48	52
4	<Individual.Individual object at 0x349eca790>	0	0	48	52
5	<Individual.Individual object at 0x3233e3ca0>	0	0	48	52
6	<Individual.Individual object at 0x3214b8490>	0	0	48	52
7	<Individual.Individual object at 0x323bb5970>	0	0	48	52
8	<Individual.Individual object at 0x3244064f0>	0	0	48	52
9	<Individual.Individual object at 0x324caa8b0>	0	0	48	52
10	<Individual.Individual object at 0x32457fd60>	0	0	48	52
11	<Individual.Individual object at 0x321bd6f40>	0	0	48	52
12	<Individual.Individual object at 0x3245871f0>	0	0	48	52
13	<Individual.Individual object at 0x3235bc1f0>	0	0	48	52
14	<Individual.Individual object at 0x3237826a0>	0	0	48	52
15	<Individual.Individual object at 0x34c186ee0>	0	0	48	52
16	<Individual.Individual object at 0x34b10c5e0>	0	0	48	52
17	<Individual.Individual object at 0x321d53e80>	0	0	48	52
18	<Individual.Individual object at 0x321db4610>	0	0	48	52
19	<Individual.Individual object at 0x323178490>	0	0	48	52
20	<Individual.Individual object at 0x323783c10>	0	0	48	52
21	<Individual.Individual object at 0x3242be130>	0	0	48	52
22	<Individual.Individual object at 0x349c00400>	0	0	48	52
23	<Individual.Individual object at 0x323b84a30>	0	0	48	52
24	<Individual.Individual object at 0x323a92d60>	0	0	48	52
25	<Individual.Individual object at 0x3233f5f40>	0	0	48	52
26	<Individual.Individual object at 0x3241772e0>	0	0	48	52
27	<Individual.Individual object at 0x321a62d00>	0	0	48	52
28	<Individual.Individual object at 0x321470fa0>	0	0	48	52
29	<Individual.Individual object at 0x322ff9490>	0	0	48	52
30	<Individual.Individual object at 0x322c62fd0>	0	0	48	52
31	<Individual.Individual object at 0x323d0a970>	0	0	48	52
32	<Individual.Individual object at 0x3241216d0>	0	0	48	52
33	<Individual.Individual object at 0x323302250>	0	0	48	52
34	<Individual.Individual object at 0x32355b460>	0	0	48	52
35	<Individual.Individual object at 0x32335b8e0>	0	0	48	52
36	<Individual.Individual object at 0x321de60a0>	0	0	48	52
37	<Individual.Individual object at 0x321b23a00>	0	0	48	52
38	<Individual.Individual object at 0x32294b460>	0	0	48	52
39	<Individual.Individual object at 0x32297be80>	0	0	48	52
40	<Individual.Individual object at 0x321db6eb0>	0	0	48	52
41	<Individual.Individual object at 0x3241bcbe0>	0	0	48	52
42	<Individual.Individual object at 0x321b2d8e0>	0	0	48	52
43	<Individual.Individual object at 0x321b13610>	0	0	48	52
44	<Individual.Individual object at 0x321a2d340>	0	0	48	52
45	<Individual.Individual object at 0x34bf9ed60>	0	0	48	52
46	<Individual.Individual object at 0x34bfbfd90>	0	0	48	52
