	true_y	pred_y
0	0,0	0
1	1,0	1
2	1,0	1
3	0,0	0
4	0,0	0
5	1,0	1
6	1,0	1
7	1,0	1
8	1,0	1
9	1,0	1
10	0,0	0
11	1,0	1
12	1,0	1
13	1,0	1
14	0,0	0
15	0,0	0
16	0,0	0
17	1,0	1
18	1,0	1
19	1,0	1
20	1,0	1
21	1,0	1
22	0,0	0
23	1,0	1
24	1,0	1
25	1,0	1
26	1,0	1
27	1,0	1
28	1,0	1
29	0,0	0
30	0,0	0
31	0,0	0
32	0,0	0
33	0,0	0
34	0,0	0
35	0,0	0
36	1,0	1
37	1,0	1
38	0,0	0
39	0,0	0
40	0,0	0
41	0,0	0
42	1,0	1
43	0,0	0
44	1,0	1
45	0,0	0
46	0,0	0
47	1,0	1
48	0,0	0
49	1,0	1
50	0,0	0
51	1,0	1
52	0,0	0
53	1,0	1
54	0,0	0
55	0,0	0
56	0,0	0
57	0,0	0
58	1,0	1
59	1,0	1
60	0,0	0
61	1,0	1
62	0,0	0
63	1,0	1
64	1,0	1
65	0,0	0
66	1,0	1
67	0,0	0
68	1,0	1
69	0,0	0
70	1,0	1
71	0,0	0
72	0,0	0
73	1,0	1
74	0,0	0
75	0,0	0
76	1,0	1
77	1,0	1
78	1,0	1
79	0,0	0
80	1,0	1
81	0,0	0
82	0,0	0
83	0,0	0
84	0,0	0
85	0,0	0
86	1,0	1
87	0,0	0
88	1,0	1
89	0,0	0
90	0,0	0
91	1,0	1
92	1,0	1
93	1,0	1
94	0,0	0
95	0,0	0
96	0,0	0
97	0,0	0
98	0,0	0
99	1,0	1
100	0,0	0
101	1,0	1
102	1,0	1
103	0,0	0
104	0,0	0
105	1,0	1
106	1,0	1
107	1,0	1
108	1,0	1
109	1,0	1
110	0,0	0
111	1,0	1
112	1,0	1
113	1,0	1
114	0,0	0
115	0,0	0
116	0,0	0
117	1,0	1
118	1,0	1
119	1,0	1
120	1,0	1
121	1,0	1
122	0,0	0
123	1,0	1
124	1,0	1
125	1,0	1
126	1,0	1
127	1,0	1
128	1,0	1
129	0,0	0
130	0,0	0
131	0,0	0
132	0,0	0
133	0,0	0
134	0,0	0
135	0,0	0
136	1,0	1
137	1,0	1
138	0,0	0
139	0,0	0
140	0,0	0
141	0,0	0
142	1,0	1
143	0,0	0
144	1,0	1
145	0,0	0
146	0,0	0
147	1,0	1
148	0,0	0
149	1,0	1
150	0,0	0
151	1,0	1
152	0,0	0
153	1,0	1
154	0,0	0
155	0,0	0
156	0,0	0
157	0,0	0
158	1,0	1
159	1,0	1
160	0,0	0
161	1,0	1
162	0,0	0
163	1,0	1
164	1,0	1
165	0,0	0
166	1,0	1
167	0,0	0
168	1,0	1
169	0,0	0
170	1,0	1
171	0,0	0
172	0,0	0
173	1,0	1
174	0,0	0
175	0,0	0
176	1,0	1
177	1,0	1
178	1,0	1
179	0,0	0
180	1,0	1
181	0,0	0
182	0,0	0
183	0,0	0
184	0,0	0
185	0,0	0
186	1,0	1
187	0,0	0
188	1,0	1
189	0,0	0
190	0,0	0
191	1,0	1
192	1,0	1
193	1,0	1
194	0,0	0
195	0,0	0
196	0,0	0
197	0,0	0
198	0,0	0
199	1,0	1
200	0,0	0
201	1,0	1
202	1,0	1
203	0,0	0
204	0,0	0
205	1,0	1
206	1,0	1
207	1,0	1
208	1,0	1
209	1,0	1
210	0,0	0
211	1,0	1
212	1,0	1
213	1,0	1
214	0,0	0
215	0,0	0
216	0,0	0
217	1,0	1
218	1,0	1
219	1,0	1
220	1,0	1
221	1,0	1
222	0,0	0
223	1,0	1
224	1,0	1
225	1,0	1
226	1,0	1
227	1,0	1
228	1,0	1
229	0,0	0
230	0,0	0
231	0,0	0
232	0,0	0
233	0,0	0
234	0,0	0
235	0,0	0
236	1,0	1
237	1,0	1
238	0,0	0
239	0,0	0
240	0,0	0
241	0,0	0
242	1,0	1
243	0,0	0
244	1,0	1
245	0,0	0
246	0,0	0
247	1,0	1
248	0,0	0
249	1,0	1
250	0,0	0
251	1,0	1
252	0,0	0
253	1,0	1
254	0,0	0
255	0,0	0
256	0,0	0
257	0,0	0
258	1,0	1
259	1,0	1
260	0,0	0
261	1,0	1
262	0,0	0
263	1,0	1
264	1,0	1
265	0,0	0
266	1,0	1
267	0,0	0
268	1,0	1
269	0,0	0
270	1,0	1
271	0,0	0
272	0,0	0
273	1,0	1
274	0,0	0
275	0,0	0
276	1,0	1
277	1,0	1
278	1,0	1
279	0,0	0
280	1,0	1
281	0,0	0
282	0,0	0
283	0,0	0
284	0,0	0
285	0,0	0
286	1,0	1
287	0,0	0
288	1,0	1
289	0,0	0
290	0,0	0
291	1,0	1
292	1,0	1
293	1,0	1
294	0,0	0
295	0,0	0
296	0,0	0
297	0,0	0
298	0,0	0
299	1,0	1
300	0,0	0
301	1,0	1
302	1,0	1
303	0,0	0
304	0,0	0
305	1,0	1
306	1,0	1
307	1,0	1
308	1,0	1
309	1,0	1
310	0,0	0
311	1,0	1
312	1,0	1
313	1,0	1
314	0,0	0
315	0,0	0
316	0,0	0
317	1,0	1
318	1,0	1
319	1,0	1
320	1,0	1
321	1,0	1
322	0,0	0
323	1,0	1
324	1,0	1
325	1,0	1
326	1,0	1
327	1,0	1
328	1,0	1
329	0,0	0
330	0,0	0
331	0,0	0
332	0,0	0
333	0,0	0
334	0,0	0
335	0,0	0
336	1,0	1
337	1,0	1
338	0,0	0
339	0,0	0
340	0,0	0
341	0,0	0
342	1,0	1
343	0,0	0
344	1,0	1
345	0,0	0
346	0,0	0
347	1,0	1
348	0,0	0
349	1,0	1
350	0,0	0
351	1,0	1
352	0,0	0
353	1,0	1
354	0,0	0
355	0,0	0
356	0,0	0
357	0,0	0
358	1,0	1
359	1,0	1
360	0,0	0
361	1,0	1
362	0,0	0
363	1,0	1
364	1,0	1
365	0,0	0
366	1,0	1
367	0,0	0
368	1,0	1
369	0,0	0
370	1,0	1
371	0,0	0
372	0,0	0
373	1,0	1
374	0,0	0
375	0,0	0
376	1,0	1
377	1,0	1
378	1,0	1
379	0,0	0
380	1,0	1
381	0,0	0
382	0,0	0
383	0,0	0
384	0,0	0
385	0,0	0
386	1,0	1
387	0,0	0
388	1,0	1
389	0,0	0
390	0,0	0
391	1,0	1
392	1,0	1
393	1,0	1
394	0,0	0
395	0,0	0
396	0,0	0
397	0,0	0
398	0,0	0
399	1,0	1
400	0,0	0
401	1,0	1
402	1,0	1
403	0,0	0
404	0,0	0
405	1,0	1
406	1,0	1
407	1,0	1
408	1,0	1
409	1,0	1
410	0,0	0
411	1,0	1
412	1,0	1
413	1,0	1
414	0,0	0
415	0,0	0
416	0,0	0
417	1,0	1
418	1,0	1
419	1,0	1
420	1,0	1
421	1,0	1
422	0,0	0
423	1,0	1
424	1,0	1
425	1,0	1
426	1,0	1
427	1,0	1
428	1,0	1
429	0,0	0
430	0,0	0
431	0,0	0
432	0,0	0
433	0,0	0
434	0,0	0
435	0,0	0
436	1,0	1
437	1,0	1
438	0,0	0
439	0,0	0
440	0,0	0
441	0,0	0
442	1,0	1
443	0,0	0
444	1,0	1
445	0,0	0
446	0,0	0
447	1,0	1
448	0,0	0
449	1,0	1
450	0,0	0
451	1,0	1
452	0,0	0
453	1,0	1
454	0,0	0
455	0,0	0
456	0,0	0
457	0,0	0
458	1,0	1
459	1,0	1
460	0,0	0
461	1,0	1
462	0,0	0
463	1,0	1
464	1,0	1
465	0,0	0
466	1,0	1
467	0,0	0
468	1,0	1
469	0,0	0
470	1,0	1
471	0,0	0
472	0,0	0
473	1,0	1
474	0,0	0
475	0,0	0
476	1,0	1
477	1,0	1
478	1,0	1
479	0,0	0
480	1,0	1
481	0,0	0
482	0,0	0
483	0,0	0
484	0,0	0
485	0,0	0
486	1,0	1
487	0,0	0
488	1,0	1
489	0,0	0
490	0,0	0
491	1,0	1
492	1,0	1
493	1,0	1
494	0,0	0
495	0,0	0
496	0,0	0
497	0,0	0
498	0,0	0
499	1,0	1
500	0,0	0
501	1,0	1
502	1,0	1
503	0,0	0
504	0,0	0
505	1,0	1
506	1,0	1
507	1,0	1
508	1,0	1
509	1,0	1
510	0,0	0
511	1,0	1
512	1,0	1
513	1,0	1
514	0,0	0
515	0,0	0
516	0,0	0
517	1,0	1
518	1,0	1
519	1,0	1
520	1,0	1
