	numberOfPedestrians	probPed	numberOfPassengers	probPass	AltruismLevel	KnobLevel	Fitness	convieneSvolta	predAction
0	3,0	0,4584506874256179	1,0	0,8955871360716525	0,4164937609069139	0,30466586	0,16666666666666669	1	0
1	3,0	0,7182298109183213	3,0	0,5669479987451029	0,5099527337543271	0,350124	0,25	1	0
2	1,0	0,9317133083186995	3,0	0,9757141078106635	0,6289284143996351	-1,7991669	0,8333333333333334	0	0
3	4,0	0,3402055920588086	2,0	0,9549841432214184	0,3654219631088488	0,65246236	0,8333333333333334	1	1
4	2,0	0,5044388711092801	6,0	0,7219005203205998	0,41170771079433466	-0,21752395	0,9166666666666666	0	0
5	5,0	0,8119831021775507	4,0	0,3685473706919238	0,06452556035616785	0,38066828	0,7083333333333333	0	0
6	4,0	0,2620494194336783	4,0	0,10145976138654811	0,7900098403422193	0,7085637	0,75	1	1
7	4,0	0,8073561625124818	1,0	0,8870783554267345	0,0838626264639849	-0,71802276	0,625	0	0
8	3,0	0,6874692320323331	4,0	0,751253130402026	0,15236463485586726	-1,1228206	0,7916666666666666	0	0
9	4,0	0,30993884066965394	4,0	0,3974552617417779	0,9469367231654291	0,8019327	0,75	1	1
10	2,0	0,3575657333456663	4,0	0,5087533994915359	0,29690350794895803	-0,35404086	0,8333333333333334	0	0
11	1,0	0,1157985708432887	4,0	0,055678050387116595	0,35796533186597645	0,54244614	0,125	0	1
12	5,0	0,4595817891567642	4,0	0,390143920475052	0,3766213091406502	-0,54582554	0,7083333333333333	0	0
13	2,0	0,885370105275895	5,0	0,18367533594891838	0,4701143938126048	-0,9644668	0,875	0	0
14	5,0	0,4066769996970083	6,0	0,1543181555464741	0,6905774390355804	0,41641366	0,29166666666666663	1	0
15	3,0	0,20085282193940235	3,0	0,6006043323685611	0,49442576556256657	-0,011106342	0,75	0	0
16	2,0	0,9085411974456795	5,0	0,08350150543943646	0,48012236543889686	-0,30275527	0,875	0	0
17	4,0	0,713214587619996	2,0	0,2062021791878167	0,4817612083408407	0,22241539	0,16666666666666669	1	0
18	4,0	0,7699898800584098	5,0	0,4439792740891727	0,8616222047436329	1,5357083	0,7083333333333333	1	1
19	6,0	0,06920536979843483	3,0	0,7368645982132302	0,8641362152688437	0,8146719	0,875	1	1
20	2,0	0,24729199271432767	6,0	0,7394357244725497	0,6323187818446158	-0,88818127	0,9166666666666666	0	0
21	1,0	0,053221746948219906	1,0	0,4697768311852636	0,6668776914661175	3,6731808	0,75	1	1
22	5,0	0,4778657435111775	4,0	0,7725043347736431	0,28185916639261177	-0,26465118	0,7083333333333333	0	0
23	1,0	0,2147192678060834	3,0	0,7465111091592324	0,8103016566773366	1,7818904	0,6666666666666667	1	1
24	3,0	0,20490759855679375	1,0	0,9308860864314107	0,8255465987948523	-2,249503	0,16666666666666669	1	0
25	6,0	0,42820426577679294	1,0	0,7395745054433497	0,7911028239367864	3,118578	0,9583333333333334	1	1
26	6,0	0,3625439325020898	6,0	0,3093443260413864	0,7337840918942522	-0,15552121	0,25	1	0
27	6,0	0,6276830949691329	5,0	0,6375194494082067	0,22643654326738605	-0,22355995	0,7083333333333333	0	0
28	6,0	0,3927624978802935	6,0	0,5112511653159402	0,4827253776077398	-1,7397332	0,75	0	0
29	3,0	0,30151603783834047	4,0	0,7884289611362866	0,5140083425484314	-0,3589157	0,7916666666666666	0	0
30	4,0	0,006219312291889323	4,0	0,5230156233049634	0,3319580532575629	0,5402713	0,25	0	1
31	3,0	0,9016787811460805	4,0	0,305879514136158	0,1244793229682637	-0,28073636	0,7916666666666666	0	0
32	1,0	0,851953531621632	2,0	0,8764686351945337	0,8497768470754964	0,23488438	0,29166666666666663	1	0
33	2,0	0,1689456021890613	6,0	0,28310403324869093	0,4163131331071962	-0,4874153	0,9166666666666666	0	0
34	5,0	0,4047397984459199	4,0	0,14364491030070803	0,33625247158569027	0,61184645	0,29166666666666663	0	1
35	1,0	0,9679527701986778	5,0	0,14172905748474784	0,629425762350414	-2,1955173	0,9166666666666666	0	0
36	4,0	0,41010196050466086	2,0	0,7477836455988077	0,022184028578728254	0,14777705	0,6666666666666667	0	0
37	3,0	0,41877641124313436	4,0	0,231663055717929	0,43666776321898293	-0,5337205	0,7916666666666666	0	0
38	5,0	0,37786210263471187	1,0	0,6802594123485818	0,48095414979379036	2,3280644	0,9166666666666666	1	1
39	1,0	0,9032050159481227	4,0	0,4978587231084999	0,1027205069059407	0,39024186	0,875	0	0
40	4,0	0,9270715027123797	2,0	0,6662726416831407	0,9316930992342043	2,4045575	0,8333333333333334	1	1
41	4,0	0,7124910089841808	3,0	0,412133239769784	0,1595039220080402	-0,14605892	0,7083333333333333	0	0
42	3,0	0,6983087542092983	4,0	0,41124166065926837	0,29891278451917536	-1,8380079	0,7916666666666666	0	0
43	6,0	0,9898252781987072	6,0	0,4695890965217746	0,7791315441654428	-0,9569463	0,25	1	0
44	1,0	0,2551484706104955	4,0	0,8979103725881996	0,9492404354202559	1,5619628	0,625	1	1
45	2,0	0,11002321501575574	4,0	0,7133777861240452	0,12301670652115793	1,2232772	0,16666666666666669	0	1
46	6,0	0,8176874681992461	2,0	0,2553988535780045	0,04442947300871225	-1,1235162	0,5833333333333333	0	0
47	5,0	0,25517599146415726	6,0	0,9273737545263283	0,7098125397905045	-0,090036586	0,29166666666666663	1	0
48	6,0	0,17429448117811963	4,0	0,6891286094677301	0,6368120779878312	-0,3871137	0,16666666666666669	1	0
