	numberOfPedestrians	probPed	numberOfPassengers	probPass	AltruismLevel	Fitness	convieneSvolta	predAction
0	4,0	0,9842530383254884	4,0	0,8221258342607627	0,8794743731556955	0,0	0,0	0,0
1	3,0	0,4247598860754863	6,0	0,865178704973374	0,47057857133880754	1,0	1,0	1,0
2	5,0	0,2600192261735127	4,0	0,47478408322307697	0,8521527269884045	0,0	0,0	0,0
3	5,0	0,8821611580149648	4,0	0,04145167747418721	0,8082732707627973	0,0	0,0	0,0
4	6,0	0,5343680316614147	3,0	0,6757960623855654	0,10101800235015757	0,0	0,0	0,0
5	1,0	0,541682729353041	5,0	0,02071545179064127	0,33153290694065696	1,0	1,0	1,0
6	6,0	0,8966474429653115	4,0	0,11436381936095319	0,8697386937627054	0,0	0,0	0,0
7	6,0	0,4581631771638367	4,0	0,46996498318852054	0,0019577857779647934	0,0	0,0	0,0
8	5,0	0,49514662556048095	5,0	0,1559998938316417	0,21657398890706359	0,0	0,0	0,0
9	5,0	0,40943342807389016	1,0	0,737419902218632	0,7517893345231218	0,0	0,0	0,0
10	2,0	0,6873653988163794	4,0	0,37553018758778756	0,14336123582754268	1,0	1,0	1,0
11	1,0	0,8942196330595407	5,0	0,6240145035979402	0,7279199448090898	1,0	1,0	1,0
12	5,0	0,8714594338298162	4,0	0,052299567063981756	0,6567061873788159	0,0	0,0	0,0
13	3,0	0,7004163083039109	4,0	0,22175695015914598	0,6813099696247222	1,0	1,0	1,0
14	4,0	0,41799065396659496	1,0	0,6019816412494926	0,9901934944501135	0,0	0,0	0,0
15	4,0	0,6498813244672687	5,0	0,11397385314094188	0,24067177749091562	1,0	1,0	1,0
16	3,0	0,31993162539941966	1,0	0,812477281699914	0,45031785735015306	0,0	0,0	0,0
17	4,0	0,034475380324513805	2,0	0,15160209049146978	0,08425691735350249	0,0	0,0	0,0
18	1,0	0,4274890470024644	3,0	0,9857187709700417	0,7479738668417893	1,0	1,0	1,0
19	5,0	0,8748847749884667	2,0	0,590439302531426	0,8533401794550917	0,0	0,0	0,0
20	2,0	0,7612207306237448	3,0	0,1498878410557768	0,5239969580721022	1,0	1,0	1,0
21	4,0	0,027536016548633357	1,0	0,8715719604374027	0,7030130143520369	0,0	0,0	0,0
22	4,0	0,1264696259530531	1,0	0,3227920671286977	0,7706313730033142	0,0	0,0	0,0
23	4,0	0,17149100883335278	5,0	0,5077504291452063	0,26647276842934353	1,0	1,0	1,0
24	6,0	0,45154366501918564	4,0	0,44820569757532125	0,20393085948179845	0,0	0,0	0,0
25	4,0	0,8929608791994932	6,0	0,9872721899829305	0,26169658242657523	1,0	1,0	1,0
26	2,0	0,1858850156450933	3,0	0,22447072376467225	0,1717742679150338	1,0	1,0	1,0
27	2,0	0,47628743578497634	1,0	0,824622542908114	0,9038784174099543	0,0	0,0	0,0
28	4,0	0,47921718050411255	1,0	0,296703082185397	0,7162883642932432	0,0	0,0	0,0
29	3,0	0,5449487803830176	1,0	0,6268212444798025	0,13851175782867864	0,0	0,0	0,0
30	4,0	0,44908992226633104	1,0	0,5651952235043992	0,6911925056796945	0,0	0,0	0,0
31	5,0	0,6676041948783978	1,0	0,6906792484413014	0,51445001085932	0,0	0,0	0,0
32	1,0	0,019872989061744062	1,0	0,8151637523626177	0,5510538532050777	1,0	0,0	1,0
33	6,0	0,1580775719758174	2,0	0,019775913546333346	0,26230091121952415	0,0	0,0	0,0
34	6,0	0,15513726832482122	3,0	0,9769051462999871	0,4372806476672142	0,0	0,0	0,0
35	5,0	0,6912431421591047	6,0	0,6858006004937147	0,16127460297585638	1,0	1,0	1,0
36	2,0	0,8007308133234242	2,0	0,14653555777588	0,9062388540079069	1,0	0,0	1,0
37	3,0	0,30768438994697656	3,0	0,40547526730789296	0,05610077454636997	1,0	0,0	1,0
38	2,0	0,7439693760183356	3,0	0,1310064072650705	0,6957831194841891	1,0	1,0	1,0
39	5,0	0,3431408026498487	6,0	0,3779724349724666	0,7619841562504535	1,0	1,0	1,0
40	4,0	0,47923358026415686	1,0	0,986440790785915	0,16146564397126406	0,0	0,0	0,0
41	3,0	0,6648591718147628	6,0	0,1901716010186153	0,2998223227907949	1,0	1,0	1,0
42	1,0	0,10259945893041822	6,0	0,4905855471619812	0,19786464963081785	1,0	1,0	1,0
43	5,0	0,13172825871907579	6,0	0,06273433616098156	0,8647271878920504	1,0	1,0	1,0
44	4,0	0,07471698263319437	6,0	0,028203854795330496	0,85388255586953	1,0	1,0	1,0
45	5,0	0,89305449250456	6,0	0,6529781731743042	0,19682778902356624	1,0	1,0	1,0
46	2,0	0,8465524093084702	3,0	0,6328890587541414	0,09117866896014104	1,0	1,0	1,0
47	1,0	0,08453754503199284	6,0	0,6963126210908234	0,7733279422829767	1,0	1,0	1,0
48	5,0	0,08267311416253365	1,0	0,6864931589623646	0,25753900135621666	0,0	0,0	0,0
49	5,0	0,4206223219939701	6,0	0,9331516813178083	0,9319660153189244	1,0	1,0	1,0
50	4,0	0,7289985948964994	3,0	0,5807224790612823	0,32515629419638736	0,0	0,0	0,0
51	5,0	0,926369426124718	1,0	0,793543072336147	0,5456400692765866	0,0	0,0	0,0
52	1,0	0,818422663278616	3,0	0,3612138439671977	0,6017583344357448	1,0	1,0	1,0
53	2,0	0,0011912428687572696	6,0	0,7297379035873938	0,5901939324419261	1,0	1,0	1,0
54	6,0	0,21075769130580024	5,0	0,4174070806672121	0,7642787007440262	0,0	0,0	0,0
55	5,0	0,9974559078895125	6,0	0,3063385912761465	0,09976925516195412	1,0	1,0	1,0
56	2,0	0,13178881885754	5,0	0,21059057672944548	0,8014178046686995	1,0	1,0	1,0
57	3,0	0,6676470866926661	4,0	0,5677806239827401	0,6309464217222769	1,0	1,0	1,0
58	6,0	0,7766633182462588	1,0	0,6425257257915818	0,5964544407715597	0,0	0,0	0,0
59	3,0	0,6014010788746318	3,0	0,28111450254072146	0,6028712660001336	1,0	1,0	1,0
60	1,0	0,6905255791355817	6,0	0,4295652419601562	0,775491367470216	1,0	1,0	1,0
61	3,0	0,09519381474045596	1,0	0,27134010292561495	0,579048538045538	0,0	0,0	0,0
62	6,0	0,7673640684162878	4,0	0,34515106857610356	0,08143776147883874	0,0	0,0	0,0
63	6,0	0,9334239389501241	5,0	0,2429603608012767	0,09482481212250171	0,0	0,0	0,0
64	2,0	0,9386599430888946	2,0	0,2874314327620119	0,571827291007863	1,0	0,0	1,0
65	1,0	0,326525696581898	6,0	0,5180224285182516	0,9069456662014648	1,0	1,0	1,0
66	2,0	0,4954909170849765	2,0	0,4186467786166126	0,3220159211819609	1,0	0,0	1,0
67	4,0	0,6103395069919649	1,0	0,869980582245472	0,19599287528134968	0,0	0,0	0,0
68	3,0	0,7456848881012302	4,0	0,1864109382771204	0,6128228178945936	1,0	1,0	1,0
69	1,0	0,8973922363082859	2,0	0,5209967273879957	0,3487773019639606	1,0	1,0	1,0
70	3,0	0,7420765000858943	1,0	0,4581433245209896	0,12139447893509869	0,0	0,0	0,0
71	2,0	0,5917335948313872	5,0	0,39775208075956736	0,11502866517206001	1,0	1,0	1,0
72	1,0	0,08765642546972918	4,0	0,19846704352635214	0,4054026102267293	1,0	1,0	1,0
73	2,0	0,5112701726468142	1,0	0,06385655732978979	0,28019503850961225	0,0	0,0	0,0
74	1,0	0,6756275434069696	6,0	0,6061545596771071	0,5809186759457495	1,0	1,0	1,0
75	4,0	0,6946528519509281	1,0	0,5127759920325411	0,7664076574606868	0,0	0,0	0,0
76	2,0	0,9317403335212795	1,0	0,5817765867049428	0,7095113571413603	0,0	0,0	0,0
77	2,0	0,03775207603815833	3,0	0,8443251362339421	0,9488925134744416	1,0	1,0	1,0
78	2,0	0,7124889441582822	5,0	0,93214115779807	0,30372047882356157	1,0	1,0	1,0
79	1,0	0,6064201701434856	5,0	0,039755279326752824	0,7950645269473431	1,0	1,0	1,0
80	2,0	0,0619982312334767	2,0	0,0078587140576456	0,7617681372134172	1,0	0,0	1,0
81	3,0	0,47204836240838866	1,0	0,9848738869434174	0,504368488050237	0,0	0,0	0,0
82	1,0	0,9156612870826619	4,0	0,5155997049309161	0,4074725429660546	1,0	1,0	1,0
83	4,0	0,07276739772183516	5,0	0,5701277557455128	0,3377087940667196	1,0	1,0	1,0
84	3,0	0,30324473630208226	3,0	0,8146984985921141	0,761094752818706	1,0	0,0	1,0
85	1,0	0,07111305752168029	1,0	0,3558107300981087	0,34169801372657305	1,0	0,0	1,0
86	3,0	0,4326010654412692	2,0	0,2223944618301653	0,3633916592137204	0,0	0,0	0,0
87	5,0	0,4282119856165215	4,0	0,2238320126987252	0,3608778663024721	0,0	0,0	0,0
88	4,0	0,08133322884901684	6,0	0,6645336244172557	0,7441257047639331	1,0	1,0	1,0
89	5,0	0,06628536518275585	2,0	0,37870207944434453	0,027694148419625808	0,0	0,0	0,0
90	6,0	0,3835291544218745	6,0	0,20883139765459935	0,5786003862486053	0,0	0,0	0,0
91	5,0	0,7635600603900761	4,0	0,5291330036258431	0,8351003336638155	0,0	0,0	0,0
92	1,0	0,6202980388112209	3,0	0,9635824436633328	0,23957459679164772	1,0	1,0	1,0
93	5,0	0,7431422484018225	4,0	0,06762112857239355	0,6676324979599515	0,0	0,0	0,0
94	1,0	0,5719265780000847	6,0	0,6318159033209615	0,5868943359230949	1,0	1,0	1,0
95	5,0	0,002291579417841083	1,0	0,03472868198016488	0,19049413161159656	0,0	0,0	0,0
96	3,0	0,5447558101012218	5,0	0,20722248202945026	0,7437020883335492	1,0	1,0	1,0
97	4,0	0,8563334835609531	1,0	0,37234849909905676	0,9304187961143665	0,0	0,0	0,0
98	2,0	0,6444736122020132	1,0	0,18439685352233837	0,7452858661846029	0,0	0,0	0,0
99	5,0	0,5234721582779177	2,0	0,030334597984694844	0,7287801908719104	0,0	0,0	0,0
