	individual	fp	fn	tp	tn
0	<Individual.Individual object at 0x31833f0a0>	36	4	60	0
1	<Individual.Individual object at 0x16dab33d0>	19	14	50	17
2	<Individual.Individual object at 0x31b0ac3a0>	27	18	46	9
3	<Individual.Individual object at 0x31ae84fd0>	18	17	47	18
4	<Individual.Individual object at 0x31af106d0>	29	33	31	7
5	<Individual.Individual object at 0x31f00dd30>	32	35	29	4
6	<Individual.Individual object at 0x31db07e50>	19	10	54	17
7	<Individual.Individual object at 0x31db369a0>	14	14	50	22
8	<Individual.Individual object at 0x31db5ad60>	36	33	31	0
9	<Individual.Individual object at 0x31db663d0>	15	19	45	21
10	<Individual.Individual object at 0x31db54c10>	27	26	38	9
11	<Individual.Individual object at 0x31e760760>	11	12	52	25
12	<Individual.Individual object at 0x31e742fd0>	22	17	47	14
13	<Individual.Individual object at 0x31e92ae50>	36	4	60	0
14	<Individual.Individual object at 0x31e9059a0>	36	4	60	0
15	<Individual.Individual object at 0x31e231520>	27	16	48	9
16	<Individual.Individual object at 0x31e222d90>	22	27	37	14
17	<Individual.Individual object at 0x31eeaeb50>	19	17	47	17
18	<Individual.Individual object at 0x31eea1760>	19	15	49	17
19	<Individual.Individual object at 0x31ee25fd0>	29	19	45	7
20	<Individual.Individual object at 0x31ee2be50>	18	17	47	18
21	<Individual.Individual object at 0x31af709a0>	18	15	49	18
22	<Individual.Individual object at 0x31af77520>	35	0	64	1
23	<Individual.Individual object at 0x31d8e97f0>	28	8	56	8
24	<Individual.Individual object at 0x31d8c2c10>	30	22	42	6
25	<Individual.Individual object at 0x31e4de760>	29	24	40	7
26	<Individual.Individual object at 0x31e4d2fd0>	11	21	43	25
27	<Individual.Individual object at 0x31e8272e0>	32	4	60	4
28	<Individual.Individual object at 0x31e81d9a0>	17	18	46	19
29	<Individual.Individual object at 0x31e8f2520>	27	12	52	9
30	<Individual.Individual object at 0x31e8c3d90>	18	15	49	18
31	<Individual.Individual object at 0x31e1a0f40>	25	18	46	11
32	<Individual.Individual object at 0x31b25b760>	17	15	49	19
33	<Individual.Individual object at 0x31b26afd0>	27	32	32	9
34	<Individual.Individual object at 0x31c732520>	30	33	31	6
35	<Individual.Individual object at 0x31c71f9a0>	28	28	36	8
36	<Individual.Individual object at 0x31d87c520>	23	15	49	13
37	<Individual.Individual object at 0x31d869d90>	19	18	46	17
38	<Individual.Individual object at 0x31e2f6c10>	27	16	48	9
39	<Individual.Individual object at 0x31e483dc0>	22	4	60	14
40	<Individual.Individual object at 0x31e492a60>	30	26	38	6
41	<Individual.Individual object at 0x31ea62f10>	25	19	45	11
42	<Individual.Individual object at 0x31ea769a0>	36	2	62	0
43	<Individual.Individual object at 0x31e173520>	30	28	36	6
44	<Individual.Individual object at 0x31e16fd90>	17	10	54	19
45	<Individual.Individual object at 0x31e9c9c10>	26	28	36	10
46	<Individual.Individual object at 0x31e9e7760>	20	15	49	16
47	<Individual.Individual object at 0x31e7d6fd0>	22	12	52	14
48	<Individual.Individual object at 0x31e7f4e50>	23	17	47	13
49	<Individual.Individual object at 0x31e8be9a0>	23	5	59	13
50	<Individual.Individual object at 0x31e1fe520>	31	25	39	5
51	<Individual.Individual object at 0x31e1f8d90>	25	16	48	11
52	<Individual.Individual object at 0x31c30dc10>	33	34	30	3
53	<Individual.Individual object at 0x31c321760>	30	9	55	6
54	<Individual.Individual object at 0x31e290fd0>	15	13	51	21
55	<Individual.Individual object at 0x31e2abe50>	24	20	44	12
56	<Individual.Individual object at 0x31e4299a0>	28	27	37	8
57	<Individual.Individual object at 0x31e405940>	28	16	48	8
58	<Individual.Individual object at 0x31e726d90>	35	31	33	1
59	<Individual.Individual object at 0x31e713c10>	25	8	56	11
60	<Individual.Individual object at 0x31e95f760>	31	29	35	5
61	<Individual.Individual object at 0x31e974fd0>	21	8	56	15
62	<Individual.Individual object at 0x31ea9fe50>	16	19	45	20
63	<Individual.Individual object at 0x31ed109a0>	35	34	30	1
64	<Individual.Individual object at 0x31ed0a520>	30	13	51	6
65	<Individual.Individual object at 0x31edadd90>	36	8	56	0
66	<Individual.Individual object at 0x31eda0c10>	27	30	34	9
67	<Individual.Individual object at 0x31ea1f760>	17	7	57	19
68	<Individual.Individual object at 0x31ea0efd0>	28	31	33	8
69	<Individual.Individual object at 0x31e873e50>	23	19	45	13
70	<Individual.Individual object at 0x31e8609a0>	36	7	57	0
71	<Individual.Individual object at 0x31d886520>	34	13	51	2
72	<Individual.Individual object at 0x31e463d90>	35	0	64	1
73	<Individual.Individual object at 0x31e456c10>	27	12	52	9
74	<Individual.Individual object at 0x31afb57f0>	26	13	51	10
75	<Individual.Individual object at 0x31af88fd0>	19	13	51	17
76	<Individual.Individual object at 0x31b730e50>	18	21	43	18
77	<Individual.Individual object at 0x31b7289a0>	22	11	53	14
78	<Individual.Individual object at 0x31b767520>	22	26	38	14
79	<Individual.Individual object at 0x31b77cd90>	26	5	59	10
80	<Individual.Individual object at 0x31c363c10>	19	14	50	17
81	<Individual.Individual object at 0x31c34c760>	25	23	41	11
82	<Individual.Individual object at 0x31e10bfd0>	24	22	42	12
83	<Individual.Individual object at 0x31e278fa0>	24	29	35	12
84	<Individual.Individual object at 0x31e2499a0>	19	21	43	17
85	<Individual.Individual object at 0x31e780520>	29	22	42	7
86	<Individual.Individual object at 0x31e78cd90>	22	18	46	14
87	<Individual.Individual object at 0x31e987c10>	35	2	62	1
88	<Individual.Individual object at 0x31e982fd0>	19	15	49	17
89	<Individual.Individual object at 0x31eacefd0>	29	7	57	7
90	<Individual.Individual object at 0x31eaefe50>	19	20	44	17
91	<Individual.Individual object at 0x31b27d9a0>	20	16	48	16
92	<Individual.Individual object at 0x31ed6c280>	15	13	51	21
93	<Individual.Individual object at 0x31ed51d90>	24	16	48	12
94	<Individual.Individual object at 0x31ededc10>	19	17	47	17
95	<Individual.Individual object at 0x31edc6760>	9	10	54	27
96	<Individual.Individual object at 0x31c740fd0>	23	24	40	13
97	<Individual.Individual object at 0x31c75ae50>	26	27	37	10
98	<Individual.Individual object at 0x31ee4b9a0>	25	23	41	11
99	<Individual.Individual object at 0x31ee7e520>	35	17	47	1
