	individual	fp	fn	tp	tn
0	<Individual.Individual object at 0x320f04610>	28	9	52	11
1	<Individual.Individual object at 0x349e3ca60>	35	30	31	4
2	<Individual.Individual object at 0x322bf5a90>	15	10	51	24
3	<Individual.Individual object at 0x34dd4c8e0>	27	16	45	12
4	<Individual.Individual object at 0x324c17e80>	22	5	56	17
5	<Individual.Individual object at 0x34bcad7f0>	19	16	45	20
6	<Individual.Individual object at 0x34d01a520>	26	5	56	13
7	<Individual.Individual object at 0x351431700>	20	8	53	19
8	<Individual.Individual object at 0x3235ada00>	37	36	25	2
9	<Individual.Individual object at 0x3510a9d30>	16	16	45	23
10	<Individual.Individual object at 0x3211f5e50>	31	22	39	8
11	<Individual.Individual object at 0x34bedca60>	21	17	44	18
12	<Individual.Individual object at 0x34f70fe50>	32	9	52	7
13	<Individual.Individual object at 0x3237b8100>	12	11	50	27
14	<Individual.Individual object at 0x323649370>	20	22	39	19
15	<Individual.Individual object at 0x34f3f7580>	26	15	46	13
16	<Individual.Individual object at 0x34af23490>	29	10	51	10
17	<Individual.Individual object at 0x34e580d60>	27	20	41	12
18	<Individual.Individual object at 0x31fe05970>	39	0	61	0
19	<Individual.Individual object at 0x3239351f0>	32	12	49	7
20	<Individual.Individual object at 0x323c1c7f0>	12	9	52	27
21	<Individual.Individual object at 0x351090b80>	24	10	51	15
22	<Individual.Individual object at 0x34f3e76d0>	22	9	52	17
23	<Individual.Individual object at 0x34f3fbf40>	14	15	46	25
24	<Individual.Individual object at 0x3216cbdc0>	28	15	46	11
25	<Individual.Individual object at 0x34ab5f910>	34	2	59	5
26	<Individual.Individual object at 0x34ab45490>	26	23	38	13
27	<Individual.Individual object at 0x34d035040>	18	12	49	21
28	<Individual.Individual object at 0x34d009b80>	20	17	44	19
29	<Individual.Individual object at 0x3241b02e0>	24	18	43	15
30	<Individual.Individual object at 0x3241b3f40>	32	25	36	7
31	<Individual.Individual object at 0x3212cddc0>	32	32	29	7
32	<Individual.Individual object at 0x3212f5910>	14	12	49	25
33	<Individual.Individual object at 0x320f0f490>	36	31	30	3
34	<Individual.Individual object at 0x32379e040>	31	19	42	8
35	<Individual.Individual object at 0x3236f8b80>	22	15	46	17
36	<Individual.Individual object at 0x34bd626d0>	23	6	55	16
37	<Individual.Individual object at 0x34bd59f40>	33	18	43	6
38	<Individual.Individual object at 0x3237d8dc0>	28	18	43	11
39	<Individual.Individual object at 0x321148910>	22	12	49	17
40	<Individual.Individual object at 0x34bef2490>	36	29	32	3
41	<Individual.Individual object at 0x34bee1040>	21	18	43	18
42	<Individual.Individual object at 0x32389ab80>	34	0	61	5
43	<Individual.Individual object at 0x3233b96d0>	28	9	52	11
44	<Individual.Individual object at 0x323c26070>	9	6	55	30
45	<Individual.Individual object at 0x323c4ddc0>	24	11	50	15
46	<Individual.Individual object at 0x323641910>	29	1	60	10
47	<Individual.Individual object at 0x3238fd490>	22	17	44	17
48	<Individual.Individual object at 0x3238e6040>	18	11	50	21
49	<Individual.Individual object at 0x3211feb80>	25	18	43	14
50	<Individual.Individual object at 0x34bf2d6d0>	35	19	42	4
51	<Individual.Individual object at 0x34bf61f40>	28	6	55	11
52	<Individual.Individual object at 0x34fae7dc0>	24	14	47	15
53	<Individual.Individual object at 0x32373c910>	26	8	53	13
54	<Individual.Individual object at 0x32335d700>	30	11	50	9
55	<Individual.Individual object at 0x323370040>	18	22	39	21
56	<Individual.Individual object at 0x323e48130>	32	31	30	7
57	<Individual.Individual object at 0x3235285e0>	26	20	41	13
58	<Individual.Individual object at 0x323512f40>	25	16	45	14
59	<Individual.Individual object at 0x34fa55dc0>	29	25	36	10
60	<Individual.Individual object at 0x34fa7a910>	22	24	37	17
61	<Individual.Individual object at 0x34be45490>	36	0	61	3
62	<Individual.Individual object at 0x324554040>	23	10	51	16
63	<Individual.Individual object at 0x324536b80>	17	8	53	22
64	<Individual.Individual object at 0x34f02a6d0>	25	8	53	14
65	<Individual.Individual object at 0x323e2de80>	34	6	55	5
66	<Individual.Individual object at 0x323e0edc0>	36	0	61	3
67	<Individual.Individual object at 0x323c66910>	19	9	52	20
68	<Individual.Individual object at 0x323547490>	25	16	45	14
69	<Individual.Individual object at 0x32354a040>	29	4	57	10
70	<Individual.Individual object at 0x3235efa90>	33	30	31	6
71	<Individual.Individual object at 0x3235f36d0>	22	10	51	17
72	<Individual.Individual object at 0x323dc5160>	16	11	50	23
73	<Individual.Individual object at 0x322e84bb0>	24	6	55	15
74	<Individual.Individual object at 0x322e89910>	32	30	31	7
75	<Individual.Individual object at 0x34bdd6490>	27	25	36	12
76	<Individual.Individual object at 0x34bdd4040>	25	24	37	14
77	<Individual.Individual object at 0x3214f6b80>	22	19	42	17
78	<Individual.Individual object at 0x34f7b26d0>	25	20	41	14
79	<Individual.Individual object at 0x34f788f40>	10	13	48	29
80	<Individual.Individual object at 0x3233c6dc0>	28	17	44	11
81	<Individual.Individual object at 0x3233db910>	28	8	53	11
82	<Individual.Individual object at 0x34fa263a0>	20	6	55	19
83	<Individual.Individual object at 0x34fa1a040>	24	23	38	15
84	<Individual.Individual object at 0x322e72b80>	25	21	40	14
85	<Individual.Individual object at 0x3216696d0>	28	12	49	11
86	<Individual.Individual object at 0x32165cf40>	22	20	41	17
87	<Individual.Individual object at 0x34d2c8dc0>	27	10	51	12
88	<Individual.Individual object at 0x321799fd0>	21	17	44	18
89	<Individual.Individual object at 0x34dd05ee0>	22	15	46	17
90	<Individual.Individual object at 0x320f18790>	32	1	60	7
91	<Individual.Individual object at 0x3239870a0>	31	31	30	8
92	<Individual.Individual object at 0x32358c160>	25	12	49	14
93	<Individual.Individual object at 0x34d806be0>	30	25	36	9
94	<Individual.Individual object at 0x323e91160>	21	17	44	18
95	<Individual.Individual object at 0x322c476d0>	25	15	46	14
96	<Individual.Individual object at 0x34d635640>	18	9	52	21
97	<Individual.Individual object at 0x34be02370>	31	30	31	8
98	<Individual.Individual object at 0x34be3bd90>	35	11	50	4
99	<Individual.Individual object at 0x34be0edc0>	39	6	55	0
