	numberOfPedestrians	probPed	numberOfPassengers	probPass	AltruismLevel	KnobLevel	Fitness	convieneSvolta	predAction
0	5,0	0,3236985469967958	5,0	0,4943949183342644	0,7962875937911423	0,06590159237384796	1,25	1,0	1,0
1	2,0	0,8281870076212284	4,0	0,8346455630526722	0,10701030630836228	0,0	0,8102168132719069	0,0	1,0
2	2,0	0,5221672360102174	4,0	0,9471910794874799	0,8224801375099674	0,0	0,9454179097648605	1,0	1,0
3	6,0	0,7499428494657697	1,0	0,10981417114287007	0,7016118546094635	0,0	1,0	1,0	1,0
4	1,0	0,13651871406279492	4,0	0,6947376263243648	0,032464991573448954	0,0	0,0	0,0	1,0
5	1,0	0,11230284970331617	1,0	0,6301691861735031	0,9209546692293807	0,0	0,9354504658822708	1,0	1,0
6	4,0	0,7492508456591782	3,0	0,039993837303455515	0,7833036172725556	0,0	1,0	1,0	1,0
7	3,0	0,5109603755617483	3,0	0,7580316700089211	0,5149051180662985	0,18142065405845642	0,229033720700311	0,0	1,0
8	1,0	0,908756443007525	6,0	0,9409817742973796	0,0799544271334095	0,5454796552658081	0,992486962674113	0,0	0,0
9	3,0	0,21857232154398143	4,0	0,3268140488168393	0,22705559578702605	0,18485523760318756	0,782069241710739	0,0	1,0
10	1,0	0,06821196438437382	5,0	0,39800794712702026	0,6300598854289786	1,0	0,75	0,0	0,0
11	6,0	0,10317487124717828	4,0	0,9400282597845913	0,7271785556111835	0,09805591404438019	0,9656838404314206	1,0	1,0
12	1,0	0,8299147444069613	2,0	0,30020149839675103	0,44797541342060243	0,6844044923782349	0,14333681220020555	0,0	0,0
13	4,0	0,28316275358698084	2,0	0,89667221848248	0,6656181823454401	0,0	0,8247807219759107	1,0	1,0
14	1,0	0,40224181701305517	2,0	0,7413905390665605	0,0710880477128113	0,0	0,579374578260937	0,0	1,0
15	4,0	0,11865592003872416	5,0	0,20440879514640842	0,578521321950364	0,0	1,2028709096585763	1,0	1,0
16	6,0	0,926697780018716	3,0	0,2538571027355876	0,7253471896470469	0,0844714418053627	0,9255416271097997	1,0	1,0
17	6,0	0,523069146535086	4,0	0,345917090235234	0,8715058015694468	0,0	0,9489646306526396	1,0	1,0
18	4,0	0,7655213687148041	4,0	0,06096286360603598	0,03992482553507404	0,266971230506897	1,0	0,0	1,0
19	3,0	0,16240443568119056	2,0	0,7086659635297368	0,7218272490838079	0,670728325843811	0,75	1,0	0,0
20	2,0	0,6449992940624365	4,0	0,5267091607937159	0,6389811829912139	0,0	1,25	0,0	1,0
21	2,0	0,8145866192177069	1,0	0,20320322800385193	0,1611738495927323	0,13955442607402802	1,25	1,0	1,0
22	2,0	0,48964971834648585	1,0	0,5487838476793455	0,5725604277681762	0,0	1,0	1,0	1,0
23	1,0	0,8780197006189178	3,0	0,512879904200782	0,29601809036441873	0,0	0,25	0,0	1,0
24	4,0	0,1324787668406825	5,0	0,24234862767758847	0,1160917460908979	0,0	1,064047920577703	0,0	1,0
25	5,0	0,14800758939775083	2,0	0,20072725495696286	0,9522566578272527	0,0	1,25	1,0	1,0
26	5,0	0,33003482888167546	4,0	0,9500053204223159	0,3041085481989846	0,0	0,25	0,0	1,0
27	4,0	0,1934270944515668	2,0	0,1875824955658404	0,5041439654515725	0,0	1,25	1,0	1,0
28	1,0	0,3557900296212585	1,0	0,19692442759215856	0,9432967095810145	0,0	1,0	1,0	1,0
29	3,0	0,9921862577914256	4,0	0,5592777855950183	0,9042142832045876	0,3962561786174774	1,1926771467999586	1,0	1,0
